"song","elements"
"I Knew You Were Trouble (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"All Too Well (Taylor's Version)","Intro, Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro"
"22 (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"I Almost Do (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"We Are Never Ever Getting Back Together (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Stay Stay Stay (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"The Last Time (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Holy Ground (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Sad Beautiful Tragic (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus"
"The Lucky One (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Everything Has Changed (Taylor's Version)","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Starlight (Taylor's Version)","Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Breakdown, Breakdown, Breakdown, Breakdown, Outro, Outro"
"Begin Again (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Outro"
"The Moment I Knew (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Come Back...Be Here (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"Girl At Home (Taylor's Version)","Intro, Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"State Of Grace (Acoustic Version) [Taylor's Version]","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Ronan (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Better Man (Taylor's Version) [From The Vault]","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Nothing New (Taylor's Version) [From The Vault]","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Babe (Taylor's Version) [From The Vault]","Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Message In A Bottle (Taylor's Version) [From The Vault]","Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"I Bet You Think About Me (Taylor's Version) [From The Vault]","Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 4, Verse 4, Verse 4, Verse 4, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 5, Verse 5, Verse 5, Verse 5, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Forever Winter (Taylor's Version) [From The Vault]","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro"
"Run (Taylor's Version) [From The Vault]","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"The Very First Night (Taylor's Version) [From The Vault]","Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain"
"All Too Well (10 Minute Version) [Taylor's Version] [From The Vault]","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Welcome To New York","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Blank Space","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Verse 4, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Style","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus"
"Out Of The Woods","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"All You Had To Do Was Stay","Intro, Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"Shake It Off","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Interlude, Interlude, Interlude, Interlude, Interlude, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"I Wish You Would","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Bad Blood","Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Wildest Dreams","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"How You Get The Girl","Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"This Love","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"I Know Places","Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro"
"Clean","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Wonderland","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
